var_id,id_orig,description,label,source,year,risk,level,clevel,measure,metric
edf_fr_AA_p,edfraa_p,Edifici a rischio in aree di attenzione AA (%),,ISPRA,2020,Frana,Attenzione,AA,Edifici,percentuale
edf_fr_P3P4_p,edfrp3p4_p,Edifici a rischio in aree a pericolosità da frana elevata e molto elevata (P4 + P3) (%),,ISPRA,2020,Frana,(Molto) Elevato,P3P4,Edifici,percentuale
ulc_fr_P4,im_fr_p4,Unità locali d'imprese a rischio in aree a pericolosità da frana molto elevata P4 (n.),,ISPRA,2020,Frana,Molto Elevato,P4,Unità Locali,conteggio
ulc_fr_P3,im_fr_p3,Unità locali d'imprese a rischio in aree a pericolosità da frana elevata P3 (n.),,ISPRA,2020,Frana,Elevato,P3,Unità Locali,conteggio
ulc_fr_P2,im_fr_p2,Unità locali d'imprese a rischio in aree a pericolosità da frana media P2 (n.),,ISPRA,2020,Frana,Medio,P2,Unità Locali,conteggio
ulc_fr_P1,im_fr_p1,Unità locali d'imprese a rischio in aree a pericolosità da frana moderata P1 (n.),,ISPRA,2020,Frana,Basso,P1,Unità Locali,conteggio
ulc_fr_AA,im_fr_aa,Unità locali d'imprese a rischio in aree di attenzione AA (n.),,ISPRA,2020,Frana,Attenzione,AA,Unità Locali,conteggio
ulc_fr_P3P4,imfr_p3p4,Unità locali d'imprese a rischio in aree a pericolosità da frana elevata e molto elevata (P4 + P3) (n.),,ISPRA,2020,Frana,(Molto) Elevato,P3P4,Unità Locali,conteggio
ulc_fr_P4_p,imfrp4_p,Unità locali d'imprese a rischio in aree a pericolosità da frana molto elevata P4 (%),,ISPRA,2020,Frana,Molto Elevato,P4,Unità Locali,percentuale
ulc_fr_P3_p,imfrp3_p,Unità locali d'imprese a rischio in aree a pericolosità da frana elevata P3 (%),,ISPRA,2020,Frana,Elevato,P3,Unità Locali,percentuale
ulc_fr_P2_p,imfrp2_p,Unità locali d'imprese a rischio in aree a pericolosità da frana media P2 (%),,ISPRA,2020,Frana,Medio,P2,Unità Locali,percentuale
ulc_fr_P1_p,imfrp1_p,Unità locali d'imprese a rischio in aree a pericolosità da frana moderata P1 (%),,ISPRA,2020,Frana,Basso,P1,Unità Locali,percentuale
ulc_fr_AA_p,imfraa_p,Unità locali d'imprese a rischio in aree di attenzione AA (%),,ISPRA,2020,Frana,Attenzione,AA,Unità Locali,percentuale
ulc_fr_P3P4_p,imfrp3p4_p,Unità locali d'imprese a rischio in aree a pericolosità da frana elevata e molto elevata (P4 + P3) (%),,ISPRA,2020,Frana,(Molto) Elevato,P3P4,Unità Locali,percentuale
bct_fr_P4,bbcc_fr_p4,Beni culturali a rischio in aree a pericolosità da frana molto elevata P4 (n.),,ISPRA,2020,Frana,Molto Elevato,P4,Beni Culturali,conteggio
bct_fr_P3,bbcc_fr_p3,Beni culturali a rischio in aree a pericolosità da frana elevata P3 (n.),,ISPRA,2020,Frana,Elevato,P3,Beni Culturali,conteggio
bct_fr_P2,bbcc_fr_p2,Beni culturali a rischio in aree a pericolosità da frana media P2 (n.),,ISPRA,2020,Frana,Medio,P2,Beni Culturali,conteggio
bct_fr_P1,bbcc_fr_p1,Beni culturali a rischio in aree a pericolosità da frana moderata P1 (n.),,ISPRA,2020,Frana,Basso,P1,Beni Culturali,conteggio
bct_fr_AA,bbcc_fr_aa,Beni culturali a rischio in aree di attenzione AA (n.),,ISPRA,2020,Frana,Attenzione,AA,Beni Culturali,conteggio
bct_fr_P3P4,bbccfrp3p4,Beni culturali a rischio in aree a pericolosità da frana elevata e molto elevata (P4 + P3) (n.),,ISPRA,2020,Frana,(Molto) Elevato,P3P4,Beni Culturali,conteggio
bct_fr_P4_p,bbccfrp4_p,Beni culturali a rischio in aree a pericolosità da frana molto elevata P4 (%),,ISPRA,2020,Frana,Molto Elevato,P4,Beni Culturali,percentuale
bct_fr_P3_p,bbccfrp3_p,Beni culturali a rischio in aree a pericolosità da frana elevata P3 (%),,ISPRA,2020,Frana,Elevato,P3,Beni Culturali,percentuale
bct_fr_P2_p,bbccfrp2_p,Beni culturali a rischio in aree a pericolosità da frana media P2 (%),,ISPRA,2020,Frana,Medio,P2,Beni Culturali,percentuale
bct_fr_P1_p,bbccfrp1_p,Beni culturali a rischio in aree a pericolosità da frana moderata P1 (%),,ISPRA,2020,Frana,Basso,P1,Beni Culturali,percentuale
bct_fr_AA_p,bbccfraa_p,Beni culturali a rischio in aree di attenzione AA (%),,ISPRA,2020,Frana,Attenzione,AA,Beni Culturali,percentuale
bct_fr_P3P4_p,bbccfrp3p4_p,Beni culturali a rischio in aree a pericolosità da frana elevata e molto elevata (P4 + P3) (%),,ISPRA,2020,Frana,(Molto) Elevato,P3P4,Beni Culturali,percentuale
