CMN,area,pop,fam,edf,ulc,bct,area_id_H,area_id_M,area_id_L,area_id_H_p,area_id_M_p,area_id_L_p,pop_id_H,pop_id_M,pop_id_L,pop_id_H_p,pop_id_M_p,pop_id_L_p,fam_id_H,fam_id_M,fam_id_L,fam_id_H_p,fam_id_M_p,fam_id_L_p,edf_id_H,edf_id_M,edf_id_L,edf_id_H_p,edf_id_M_p,edf_id_L_p,ulc_id_H,ulc_id_M,ulc_id_L,ulc_id_H_p,ulc_id_M_p,ulc_id_L_p,bct_id_H,bct_id_M,bct_id_L,bct_id_H_p,bct_id_M_p,bct_id_L_p,area_fr_P4,area_fr_P3,area_fr_P2,area_fr_P1,area_fr_AA,area_fr_P3P4,area_fr_P4_p,area_fr_P3_p,area_fr_P2_p,area_fr_P1_p,area_fr_AA_p,area_fr_P3P4_p,pop_fr_P4,pop_fr_P3,pop_fr_P2,pop_fr_P1,pop_fr_AA,pop_fr_P3P4,pop_fr_P4_p,pop_fr_P3_p,pop_fr_P2_p,pop_fr_P1_p,pop_fr_AA_p,pop_fr_P3P4_p,fam_fr_P4,fam_fr_P3,fam_fr_P2,fam_fr_P1,fam_fr_AA,fam_fr_P3P4,fam_fr_P4_p,fam_fr_P3_p,fam_fr_P2_p,fam_fr_P1_p,fam_fr_AA_p,fam_fr_P3P4_p,edf_fr_P4,edf_fr_P3,edf_fr_P2,edf_fr_P1,edf_fr_AA,edf_fr_P3P4,edf_fr_P4_p,edf_fr_P3_p,edf_fr_P2_p,edf_fr_P1_p,edf_fr_AA_p,edf_fr_P3P4_p,ulc_fr_P4,ulc_fr_P3,ulc_fr_P2,ulc_fr_P1,ulc_fr_AA,ulc_fr_P3P4,ulc_fr_P4_p,ulc_fr_P3_p,ulc_fr_P2_p,ulc_fr_P1_p,ulc_fr_AA_p,ulc_fr_P3P4_p,bct_fr_P4,bct_fr_P3,bct_fr_P2,bct_fr_P1,bct_fr_AA,bct_fr_P3P4,bct_fr_P4_p,bct_fr_P3_p,bct_fr_P2_p,bct_fr_P1_p,bct_fr_AA_p,bct_fr_P3P4_p
28084,319.3119442,1942,773,810,126,10,1.59,1.6,5.482,4.981,5.013,17.175,66,66,237,3.053,3.053,10.962,25,26,90,3.117,3.242,11.222,26,26,93,3.21,3.21,11.481,3,3,11,2.381,2.381,8.73,1,1,1,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28085,135.2203614,10426,4139,2055,901,16,0,0.709,9.239,0,5.235,68.215,0,780,8246,0,7.767,82.107,0,309,3188,0,7.964,82.165,0,170,1668,0,8.273,81.168,0,62,769,0,6.881,85.35,0,2,12,0,12.5,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28086,195.3293051,22920,9738,4450,1961,19,11.958,15.064,17.826,61.27,77.184,91.336,17574,18802,19757,79.359,84.904,89.217,7078,7565,7940,79.403,84.867,89.073,3442,3733,3979,77.348,83.888,89.416,1594,1679,1761,81.285,85.62,89.801,13,15,16,68.421,78.947,84.211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28087,101.2611964,6843,2785,2418,856,17,0.001,0.056,0.234,0.01,0.552,2.307,0,8,9,0,0.111,0.125,0,3,4,0,0.109,0.145,0,2,2,0,0.083,0.083,0,0,1,0,0,0.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28088,198.224653,4113,1742,1546,362,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28089,311.9488711,8941,3850,2381,771,54,0.053,4.316,4.489,0.17,13.833,14.387,111,2238,2336,1.252,25.242,26.348,47,888,929,1.311,24.77,25.914,17,452,469,0.714,18.984,19.698,4,135,140,0.519,17.51,18.158,0,9,9,0,16.667,16.667,0.044,0.783,0.294,0.094,0.611,0.827,0.141,2.51,0.942,0.301,1.958,2.651,2,69,16,4,54,71,0.023,0.778,0.18,0.045,0.609,0.801,1,29,7,2,21,30,0.028,0.809,0.195,0.056,0.586,0.837,1,26,7,2,21,27,0.042,1.092,0.294,0.084,0.882,1.134,0,6,2,0,4,6,0,0.778,0.259,0,0.519,0.778,0,1,0,0,4,1,0,1.852,0,0,7.407,1.852
28090,148.1915619,2690,1039,769,219,3,6.609,10.258,14.801,44.619,69.255,99.926,492,824,2624,18.743,31.39,99.962,178,298,978,18.2,30.47,100,163,269,769,21.196,34.98,100,37,57,219,16.895,26.027,100,4,4,4,133.333,133.333,133.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28091,110.1416483,8268,3287,2445,794,9,0.329,0.329,0.329,2.985,2.985,2.985,5,5,5,0.061,0.061,0.061,2,2,2,0.064,0.064,0.064,1,1,1,0.041,0.041,0.041,1,1,1,0.126,0.126,0.126,1,1,1,11.111,11.111,11.111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28092,188.6291258,6137,2566,1627,517,193,0.235,0.312,1.175,1.246,1.655,6.232,72,100,281,1.16,1.611,4.528,28,39,111,1.136,1.583,4.505,25,35,101,1.537,2.151,6.208,7,10,28,1.354,1.934,5.416,0,0,0,0,0,0,0,0.194,0.187,0.005,0.424,0.194,0,1.029,0.992,0.027,2.249,1.029,0,33,11,0,36,33,0,0.532,0.177,0,0.58,0.532,0,13,5,0,13,13,0,0.528,0.203,0,0.528,0.528,0,12,5,0,12,12,0,0.738,0.307,0,0.738,0.738,0,2,1,0,3,2,0,0.387,0.193,0,0.58,0.387,0,1,0,0,1,1,0,0.518,0,0,0.518,0.518
28093,306.5118703,12941,4955,3347,993,16,1.758,2.038,2.46,5.735,6.648,8.025,536,578,653,4.261,4.595,5.191,197,212,239,4.317,4.646,5.238,139,151,174,4.153,4.512,5.199,43,45,49,4.33,4.532,4.935,2,2,2,12.5,12.5,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28094,191.8942425,4267,1739,1320,356,4,0.208,0.208,4.507,1.082,1.082,23.442,9,9,465,0.203,0.203,10.494,3,3,174,0.179,0.179,10.369,3,3,162,0.227,0.227,12.273,0,0,32,0,0,8.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28095,170.1560735,2049,837,919,207,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28096,164.2214598,4753,1847,837,416,7,4.409,7.149,15.372,26.864,43.56,93.663,262,977,3919,5.767,21.506,86.265,100,376,1502,5.714,21.486,85.829,72,223,752,8.602,26.643,89.845,56,154,377,13.462,37.019,90.625,1,5,7,14.286,71.429,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28097,222.3935281,1759,744,575,106,6,0.593,0.593,1.781,2.666,2.666,8.006,10,10,51,0.582,0.582,2.97,4,4,22,0.556,0.556,3.056,3,3,20,0.522,0.522,3.478,0,0,3,0,0,2.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28098,170.696502,901,375,399,53,3,1.104,5.808,13.662,6.463,33.999,79.974,106,171,844,11.337,18.289,90.267,44,68,344,11.609,17.942,90.765,41,76,347,10.276,19.048,86.967,7,8,50,13.208,15.094,94.34,1,2,3,33.333,66.667,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28099,199.1015858,13035,5333,2717,983,14,1.792,1.794,12.979,8.998,9.008,65.169,759,759,10267,5.891,5.891,79.682,293,293,4018,5.912,5.912,81.073,188,188,1998,6.919,6.919,73.537,45,45,742,4.578,4.578,75.483,1,1,10,7.143,7.143,71.429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28100,333.2868439,23080,9260,4827,2209,58,2.268,2.742,5.979,6.806,8.229,17.943,1135,1363,3541,5.161,6.197,16.101,443,529,1371,5.161,6.163,15.973,268,327,817,5.552,6.774,16.926,105,121,271,4.753,5.478,12.268,1,2,4,1.724,3.448,6.897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28101,173.2099761,5564,2021,1575,499,5,0.594,0.666,0.815,3.424,3.839,4.698,248,322,383,4.506,5.85,6.959,88,114,135,4.615,5.978,7.079,63,80,95,4,5.079,6.032,28,38,44,5.611,7.615,8.818,2,2,2,40,40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28102,160.1563672,2135,882,912,179,6,0.142,0.142,1.736,0.887,0.887,10.846,7,7,80,0.301,0.301,3.445,2,2,30,0.224,0.224,3.363,3,3,39,0.329,0.329,4.276,0,0,6,0,0,3.352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
